moynahan	moynihan	10	82	363
naramore	narramore	8	50	95
nesbit	nesbitt	89	721	1207
parsell	parcell	9	129	195
parcel	parcell	10	74	195
rainey	raney	60	1405	608
robuck	roebuck	18	73	716
sykes	sikes	85	3418	684
sobel	sobol	8	146	68
stockhill	stockill	5	28	43
sturges	sturgis	28	428	464
taaffe	taafe	8	157	47
thomasson	thomason	64	467	1411
tidy	tidey	17	299	137
vessel	vessey	5	32	197
weathersby	weathersbee	9	170	81
wigget	wiggett	6	19	125
woolger	woolgar	12	82	290
woolam	woollam	6	44	63
balderstone	balderston	11	101	125
balderson	balderston	7	203	125
bachelor	batchelor	80	374	1750
backstrom	beckstrom	6	99	71
berryman	berriman	41	975	247
borowsky	borowski	6	49	166
boroski	borowski	6	27	166
bresler	bressler	6	50	239
buehler	buhler	12	336	202
clarkston	clarkstone	5	90	15
cockerill	cockerell	14	449	171
cockrell	cockerell	15	549	171
kushner	cushner	6	163	28
flemming	fleming	315	1220	6859
gagnier	gagne	27	148	784
gaspar	gasper	9	163	214
guttridge	gutteridge	18	155	479
haberfield	habberfield	5	63	39
halperin	halpern	8	92	198
hartin	harten	5	152	67
hier	hire	5	103	122
hallows	hollows	6	142	93
ironside	ironsides	8	239	27
johannsen	johannson	9	171	145
kasper	kaspar	11	394	115
kulick	kulik	5	75	94
lumm	lum	9	61	283
mcinnis	macinnis	26	579	141
mainwaring	manwaring	24	505	305
mcclements	mcclement	9	71	69
mccormack	mccormick	284	2066	4447
mckenny	mckenney	19	244	559
medcalf	metcalf	68	451	2720
metcalfe	metcalf	220	1978	2720
mizer	miser	7	105	90
mourning	morning	7	80	90
kneller	neller	9	193	76
pickel	pickell	8	212	90
pineault	pineau	6	53	117
richbourg	richburg	7	75	128
rymes	rimes	5	55	137
rhymes	rimes	7	102	137
rosenblum	rosenbloom	10	208	162
ruddick	ruddock	15	281	342
sawdon	sawden	6	103	47
seymore	seamore	10	413	45
span	spann	18	85	477
sonley	sunley	5	47	116
tarkington	tarkenton	5	120	31
tuffnell	tuffnel	5	78	9
voorhees	vorhees	13	453	127
wert	wirt	10	269	191
abby	abbey	24	110	722
bohannan	bohannon	20	178	663
bohanon	bohannon	19	135	663
bramhall	bramall	21	280	168
bramlet	bramlett	12	80	268
bramblett	bramlett	10	133	268
budgen	bridgen	9	237	129
brisky	briskey	5	16	43
chancy	chancey	13	97	193
colborn	coborn	5	142	28
counsell	counsel	7	182	68
chrisco	crisco	5	48	42
denny	denney	142	1921	887
darwent	derwent	8	79	45
desforges	desforge	7	118	20
duffy	duffey	105	3846	555
dunkle	dunkel	10	258	134
eberhard	eberhart	10	154	307
eberhardt	eberhart	17	378	307
ecklund	eklund	19	115	321
finneran	fineran	5	139	43
gelina	gelinas	8	25	198
hewet	hewit	8	47	232
hourihan	hourihane	5	84	28
jodouin	jodoin	5	21	135
lavy	lavey	5	51	79
lebo	leabo	5	133	37
luria	lurie	6	27	92
mcdougall	macdougall	87	1539	556
matheny	matheney	20	545	91
mcdaniels	mcdaniel	99	525	4111
mackillop	mckillop	8	56	319
mahaffey	mehaffey	13	455	124
merrit	merit	7	263	59
musick	music	18	388	226
muter	mutter	6	40	208
nellis	nelles	9	223	105
navarez	nevarez	6	9	104
plunkett	plunket	42	1044	147
sarrazin	sarrasin	7	96	31
tiedeman	tiedemann	11	77	114
trainor	trainer	48	589	412
trowsdale	trousdale	6	58	135
vineyard	vinyard	22	305	182
waggot	waggott	5	29	68
wharry	wherry	7	48	210
wiskin	whiskin	6	32	36
woolacott	wollacott	7	102	37
wraight	wraighte	6	221	17
alphonso	alfonso	7	39	138
blackledge	blacklidge	10	248	42
bladon	bladen	13	109	168
blandon	blanden	5	51	42
borgman	borgmann	6	87	52
brewington	bruington	8	242	39
duchesne	duchene	21	236	129
duchaine	duchene	5	45	129
fennel	fennell	48	238	970
gilday	gildea	7	84	217
grohmann	grohman	6	30	29
hately	hateley	6	67	91
herd	heard	60	776	1916
helliwell	hellewell	20	454	154
hiser	hizer	6	170	59
horsecroft	horscroft	6	16	60
kelleher	kelliher	22	748	161
kuntz	kunz	25	715	489
learmouth	learmonth	9	78	144
lavergne	lebuis	7	190	24
linaker	linacre	10	93	81
lauderback	louderback	6	64	98
macbean	mcbean	11	89	244
mcbain	mcbean	15	346	244
macphail	mcphail	29	176	699
mcwilliam	mcwilliams	45	340	1274
morisson	morrisson	6	42	145
palister	pallister	6	14	215
petersen	peterson	302	2685	10786
pollet	pollett	6	74	128
pollitt	pollett	17	440	128
roderick	rodrick	17	582	68
rosenfield	rosenfeld	9	101	319
cisco	scisco	5	188	14
shackelton	shackleton	19	73	679
sivier	sivyer	7	56	141
skiggs	skeggs	7	36	155
stilwell	stillwell	89	556	960
tams	tamms	6	147	13
tyner	tiner	16	451	166
verco	vercoe	5	31	140
varcoe	vercoe	10	177	140
vigneault	vignault	7	95	15
axe	ax	12	189	60
varela	barela	11	232	172
belden	belding	21	395	222
bently	bentley	117	389	4611
berkley	berkeley	18	370	373
bettle	bettles	5	69	111
cannel	cannell	9	25	388
carnell	carnall	12	399	144
castleton	caselton	5	129	43
causer	cawser	7	174	20
chauret	choret	7	41	119
charet	choret	5	52	119
chaurette	choret	7	26	119
durcan	durkan	5	56	64
dines	dynes	12	338	115
elsden	elsdon	12	91	166
ennever	enever	5	29	79
gallacher	gallocher	10	323	39
gartlan	gartland	6	28	185
goodbourne	goodbourn	5	14	26
halloway	hallaway	7	259	64
halkyard	hawkyard	5	92	58
heinemann	heineman	8	168	127
oldroyd	holdroyd	8	288	56
howarth	howorth	60	2146	266
haworth	howorth	43	1158	266
iken	ikin	6	29	136
jesperson	jespersen	5	42	87
kincade	kinkade	10	243	189
lamphere	lanphere	9	187	88
lorrain	lorain	5	114	37
mcmullin	mcmullen	62	512	1847
mims	mimms	35	779	193
mowrey	mowery	20	175	433
mundell	mundle	7	245	51
nally	nalley	20	239	260
nude	nudd	5	5	104
nunnally	nunnaly	6	208	16
nygaard	nygard	9	150	69
pardy	pardey	8	159	55
pariseau	parizeau	7	100	33
payette	payet	14	191	68
peplow	peploe	5	151	65
purdue	perdue	37	314	821
perillard	periard	7	22	29
phillippe	philippe	6	101	129
phillipe	philippe	8	71	129
pleasant	pleasants	15	365	269
polkinghorne	polkinghorn	8	157	76
rimmington	rimington	22	199	104
reardon	riordan	47	1354	699
scoby	scobey	9	61	71
skuse	scuse	5	182	25
searls	searles	18	116	605
staudt	stoudt	8	102	129
swayzee	swayze	5	9	200
vile	viles	8	180	199
wardrope	wardrop	9	94	192
wordsworth	wardsworth	9	258	29
weddel	weddell	6	52	183
whiteway	whiteaway	6	139	20
whitty	witty	17	339	340
allwood	alwood	11	317	72
ayers	ayres	214	2950	2275
banister	bannister	102	527	1858
beaman	beeman	23	583	478
benefield	bennefield	12	304	63
canady	cannady	20	518	296
caveney	caveny	7	85	39
chamberlin	chamberlain	162	958	4173
cockerell	cockerill	19	171	449
cooke	cook	1060	6893	25885
eblin	eblen	8	52	59
estabrook	esterbrook	6	194	66
fargher	faragher	10	87	102
farragher	faragher	5	63	102
follett	follet	13	457	65
gateley	gately	11	77	223
grovenor	grovener	5	43	15
gilfoyle	guilfoyle	7	64	251
hackle	hackel	5	23	54
hannah	hanna	161	2226	2279
harvel	harvell	8	88	233
hennesey	henessey	5	107	49
houchins	houchin	11	132	248
keaton	keeton	43	525	530
lieberman	liberman	12	304	79
lockhard	lockard	12	64	333
lockart	lockard	9	87	333
manis	manus	12	259	212
mcquaid	mcquade	27	265	519
mcroberts	mcrobert	11	302	75
omeara	meara	7	184	125
mellers	mellors	9	32	296
merrills	merrils	5	82	23
monteith	montieth	13	448	89
mosman	mossman	10	82	313
podmore	padmore	8	259	127
parks	parkes	144	5050	1894
quaite	quait	5	19	28
razor	razer	7	103	33
ridgley	ridgely	9	217	151
ridgeley	ridgely	6	56	151
ridgewell	ridgwell	17	169	90
redgwell	ridgwell	7	52	90
roadknight	roadnight	6	42	61
roebuck	robuck	20	716	73
ruest	ruais	11	59	28
sayers	sayer	73	1396	1275
sipe	sipes	18	365	380
spark	sparke	14	382	218
stratman	stratmann	11	79	41
tassel	tassell	6	44	181
euden	uden	5	25	131
vallor	valler	5	25	110
vancleave	vancleve	6	155	79
vesinat	vesina	5	17	25
vezina	vesina	11	237	25
wardlaw	wardlow	12	330	203
widdowson	widowson	10	353	30
abels	ables	17	108	294
able	ables	16	443	294
amason	amerson	8	81	182
bieber	beiber	12	374	55
botkins	botkin	9	40	179
bodkin	botkin	13	220	179
breakwell	brakewell	5	151	20
burtonshaw	burtenshaw	8	50	229
clemo	clemow	5	119	54
coppage	coppedge	11	145	147
crossan	crossen	8	178	139
crosson	crossen	8	208	139
cupitt	cupit	9	85	158
dotson	dodson	93	1338	2624
dumont	dumond	23	622	162
eshleman	eshelman	6	103	183
fetterley	fetterly	6	25	79
fines	fynes	5	104	38
goins	goings	30	1107	246
hattaway	hataway	6	82	52
hickmott	hickmot	5	195	16
holzman	holzmann	5	128	49
keown	keon	6	231	48
kernahan	kernaghan	6	47	93
kittrell	kitrell	5	184	35
kiser	kizer	32	970	346
lambourn	lambourne	26	131	273
lamborne	lambourne	9	28	273
langworth	langworthy	7	36	221
lasalle	lassalle	5	197	38
lecomte	lecompte	8	99	233
livingstone	livingston	150	1034	2730
mcquire	macquire	10	298	50
macateer	mcateer	7	18	213
mcloy	mccloy	6	24	179
melick	mellick	5	121	64
meir	mier	7	157	181
minett	minnett	6	169	48
morrisette	morissette	6	107	179
morisette	morissette	9	68	179
morisset	morissette	15	80	179
morrissette	morissette	17	139	179
merton	murton	16	230	342
ownby	owensby	5	134	108
owenby	owensby	10	129	108
ownsby	owensby	5	20	108
richerson	richeson	10	171	131
rizer	riser	7	78	172
roseborough	roseboro	6	80	45
sergent	sergeant	20	279	646
sargeant	sergeant	55	992	646
shipston	shipstone	6	39	53
synnott	sinnott	14	98	363
spinks	spink	39	936	716
talcott	talcot	5	197	11
thaggard	thagard	5	31	28
tousley	towsley	6	67	65
wickett	wicket	5	190	31
widows	widdows	9	41	171
wurn	wurm	7	12	120
worm	wurm	5	82	120
yeater	yater	8	97	42
ablett	ablet	7	286	20
arnesen	arneson	9	73	216
attrill	atrill	7	173	35
babbit	babbitt	14	90	358
block	bloch	38	1169	400
bloomberg	blumberg	7	104	181
cayer	caille	12	142	89
chambliss	chambless	17	298	172
childress	childers	70	1375	1590
cockran	cockram	14	231	331
cow	cowe	6	64	140
